canonical_verlan,variants,base_forms,is_multiword,has_hyphen,variant_count,raw_count,doc_count,pmw,share_of_all_verlan_hits
enscred,en scred,discret,True,False,1,0,0,0.0,0.0
eins,eins,seins,False,False,1,0,0,0.0,0.0
drauper,drauper,perdreau,False,False,1,0,0,0.0,0.0
dular,dular,lardu,False,False,1,0,0,0.0,0.0
diostu,diostu,studio,False,False,1,0,0,0.0,0.0
galsen,galsen,sénégal,False,False,1,0,0,0.0,0.0
genhar,genhar,argent,False,False,1,0,0,0.0,0.0
golmon,golmon,mongol,False,False,1,0,0,0.0,0.0
golgo,golgo,gogol,False,False,1,0,0,0.0,0.0
golri,golri,rigole,False,False,1,0,0,0.0,0.0
gova,gova,vago,False,False,1,0,0,0.0,0.0
gueush,gueush,schlague,False,False,1,0,0,0.0,0.0
gueustri,gueustri,string,False,False,1,0,0,0.0,0.0
iech,iech,chier,False,False,1,0,0,0.0,0.0
ienb,ienb,bien,False,False,1,0,0,0.0,0.0
feukeu,feukeu,flic,False,False,1,0,0,0.0,0.0
ficha,ficha,afficher,False,False,1,0,0,0.0,0.0
fisha,fisha,affiché,False,False,1,0,0,0.0,0.0
fonbou,fonbou,bouffon,False,False,1,0,0,0.0,0.0
foncedé,foncedé,défoncé,False,False,1,0,0,0.0,0.0
despee,despee,speed,False,False,1,0,0,0.0,0.0
karna,karna,arnaque,False,False,1,0,0,0.0,0.0
céfran,céfran,français,False,False,1,0,0,0.0,0.0
commeas,comme as,comme ça,True,False,1,0,0,0.0,0.0
comaque,comaque,comme ça,False,False,1,0,0,0.0,0.0
chéper,chéper,perché,False,False,1,0,0,0.0,0.0
cimer,cimer,merci,False,False,1,0,0,0.0,0.0
chébran,chébran,branché,False,False,1,0,0,0.0,0.0
beuteu,beuteu,teub,False,False,1,0,0,0.0,0.0
beuher,beuher,herbe,False,False,1,0,0,0.0,0.0
beubar,beubar,barbe,False,False,1,0,0,0.0,0.0
beteu,beteu,teub,False,False,1,0,0,0.0,0.0
beuj,beuj,jambe,False,False,1,0,0,0.0,0.0
bédo,bédo,daube,False,False,1,0,0,0.0,0.0
bheu,bheu,herbe,False,False,1,0,0,0.0,0.0
bilka,bil-ka,kabyle,False,True,1,0,0,0.0,0.0
bleta,bleta,table,False,False,1,0,0,0.0,0.0
cainri,cainri,ricain,False,False,1,0,0,0.0,0.0
caillera,caillera,racaille,False,False,1,0,0,0.0,0.0
béger,béger,gerber,False,False,1,0,0,0.0,0.0
charclo,charclo,clochard,False,False,1,0,0,0.0,0.0
chemo,chemo,moche,False,False,1,0,0,0.0,0.0
beuje,beuje,jambe,False,False,1,0,0,0.0,0.0
beur,beur,arabe,False,False,1,0,0,0.0,0.0
beurette,beurette,beur,False,False,1,0,0,0.0,0.0
blèmepro,blèmepro,problème,False,False,1,0,0,0.0,0.0
bolos,bolos,lobos,False,False,1,0,0,0.0,0.0
brolique,brolique,calibre,False,False,1,0,0,0.0,0.0
bédav,bédav,daube,False,False,1,0,0,0.0,0.0
bebon,bebon,bombe,False,False,1,0,0,0.0,0.0
babtou,babtou,toubab,False,False,1,0,0,0.0,0.0
ballepeau,balle-peau,peau de balle,False,True,1,0,0,0.0,0.0
bebar,bebar,barbe,False,False,1,0,0,0.0,0.0
nertour,ner-tour,tourner.,False,True,1,0,0,0.0,0.0
ndepso,ndepso,pédé,False,False,1,0,0,0.0,0.0
nawak,nawak,portnawak,False,False,1,0,0,0.0,0.0
n'importenawak,n'importe nawak,n'importe quoi,True,False,1,0,0,0.0,0.0
méfu,méfu,fumer,False,False,1,0,0,0.0,0.0
millefa,millefa,famille,False,False,1,0,0,0.0,0.0
mifa,mifa,famille,False,False,1,0,0,0.0,0.0
meugra,meugra,gramme,False,False,1,0,0,0.0,0.0
meuda,meuda,dam,False,False,1,0,0,0.0,0.0
mesper,mesper,sperme,False,False,1,0,0,0.0,0.0
merdeuf,merdeuf,mère de famille,False,False,1,0,0,0.0,0.0
malegeu,ma legeu,gueule,True,False,1,0,0,0.0,0.0
licepo,lice-po,police,False,True,1,0,0,0.0,0.0
lopsa,lopsa,salope,False,False,1,0,0,0.0,0.0
képi,képi,piquer,False,False,1,0,0,0.0,0.0
legeu,legeu,gueule,False,False,1,0,0,0.0,0.0
kassded,kassded,dédicace,False,False,1,0,0,0.0,0.0
keubla,keubla,black,False,False,1,0,0,0.0,0.0
kéblo,kéblo,bloqué,False,False,1,0,0,0.0,0.0
komass,kom ass,comme ça,True,False,1,0,0,0.0,0.0
keut,keut,truc,False,False,1,0,0,0.0,0.0
kisdé,kisdé,déguisé,False,False,1,0,0,0.0,0.0
keus,keus,sac,False,False,1,0,0,0.0,0.0
keupon,keupon,punk,False,False,1,0,0,0.0,0.0
kaïra,kaïra,caillera,False,False,1,0,0,0.0,0.0
kebla,kebla,black,False,False,1,0,0,0.0,0.0
iench,iench,chien,False,False,1,0,0,0.0,0.0
iencli,iencli,client,False,False,1,0,0,0.0,0.0
ive,ive,vie,False,False,1,0,0,0.0,0.0
ièp,ièp,pied,False,False,1,0,0,0.0,0.0
kainri,kainri,ricain,False,False,1,0,0,0.0,0.0
oim,oim,moi,False,False,1,0,0,0.0,0.0
reubeu,reubeu,beur,False,False,1,0,0,0.0,0.0
renoi,renoi,noir,False,False,1,0,0,0.0,0.0
remps,remps,parents,False,False,1,0,0,0.0,0.0
refrè,refrè,frère,False,False,1,0,0,0.0,0.0
rebeu,rebeu,beur,False,False,1,0,0,0.0,0.0
rebiche,rebiche,bière,False,False,1,0,0,0.0,0.0
rainter,rainter,terrain,False,False,1,0,0,0.0,0.0
ratpi,ratpi,pirate,False,False,1,0,0,0.0,0.0
ripa,ripa,paris,False,False,1,0,0,0.0,0.0
ripoublicain,ripoublicain,républicain,False,False,1,0,0,0.0,0.0
ripoue,ripoue,femme,False,False,1,0,0,0.0,0.0
reuch,reuch,cher,False,False,1,0,0,0.0,0.0
reuf,reuf,frère,False,False,1,0,0,0.0,0.0
reuss,reuss,sœur,False,False,1,0,0,0.0,0.0
reusta,reusta,star,False,False,1,0,0,0.0,0.0
oit,oit,toi,False,False,1,0,0,0.0,0.0
portenawak,portenawak,n'importe quoi,False,False,1,0,0,0.0,0.0
pineco,pineco,copine,False,False,1,0,0,0.0,0.0
pépom,pépom,pomper,False,False,1,0,0,0.0,0.0
péta,péta,taper,False,False,1,0,0,0.0,0.0
quécro,quécro,croquer,False,False,1,0,0,0.0,0.0
rabza,rabza,zarabe,False,False,1,0,0,0.0,0.0
quetru,quetru,truc,False,False,1,0,0,0.0,0.0
québlo,québlo,bloqué,False,False,1,0,0,0.0,0.0
oufissime,oufissime,fou,False,False,1,0,0,0.0,0.0
ouej,ouej,jouer,False,False,1,0,0,0.0,0.0
pera,pera,rap,False,False,1,0,0,0.0,0.0
ouèj,ouèj,jouer,False,False,1,0,0,0.0,0.0
peta,peta,taper,False,False,1,0,0,0.0,0.0
peufra,peufra,frappe,False,False,1,0,0,0.0,0.0
noich,noich,chinois,False,False,1,0,0,0.0,0.0
neurchi,neurchi,chineur,False,False,1,0,0,0.0,0.0
tassepé,tassepé,pétasse,False,False,1,0,0,0.0,0.0
tarba,tarba,bâtard,False,False,1,0,0,0.0,0.0
sépo,sépo,posé,False,False,1,0,0,0.0,0.0
tainpu,tainpu,putain,False,False,1,0,0,0.0,0.0
streum,streum,monstre,False,False,1,0,0,0.0,0.0
stoc,stoc,mastoc,False,False,1,0,0,0.0,0.0
squeud,squeud,disque,False,False,1,0,0,0.0,0.0
stachemou,stachemou,moustache,False,False,1,0,0,0.0,0.0
scred,scred,discret,False,False,1,0,0,0.0,0.0
seuf,seuf,fesse,False,False,1,0,0,0.0,0.0
sonpri,sonpri,prison,False,False,1,0,0,0.0,0.0
ripouser,ripouser,pourri,False,False,1,0,0,0.0,0.0
rispa,rispa,paris,False,False,1,0,0,0.0,0.0
rosta,rosta,roster,False,False,1,0,0,0.0,0.0
rébou,rébou,bourré,False,False,1,0,0,0.0,0.0
scalpa,scalpa,scalper,False,False,1,0,0,0.0,0.0
reubeue,reubeue,arabe,False,False,1,0,0,0.0,0.0
tiep,tiep,pitié,False,False,1,0,0,0.0,0.0
tierquar,tier-quar,quartier,False,True,1,0,0,0.0,0.0
tiép,tiép,pitié,False,False,1,0,0,0.0,0.0
tosma,tosma,matos,False,False,1,0,0,0.0,0.0
treuf,treuf,foutre,False,False,1,0,0,0.0,0.0
toncar,toncar,carton,False,False,1,0,0,0.0,0.0
tebé,tebé,bête,False,False,1,0,0,0.0,0.0
teshmi,teshmi,schmitt,False,False,1,0,0,0.0,0.0
teube,teube,bête,False,False,1,0,0,0.0,0.0
teucha,teu-cha,teucha,False,True,1,0,0,0.0,0.0
teuch,teuch,chatte,False,False,1,0,0,0.0,0.0
teuchi,teuchi,shit,False,False,1,0,0,0.0,0.0
tiek,tiek,quartier,False,False,1,0,0,0.0,0.0
tepo,tepo,pote,False,False,1,0,0,0.0,0.0
techa,techa,chatte,False,False,1,0,0,0.0,0.0
varcreu,varcreu,crevard,False,False,1,0,0,0.0,0.0
uc,uc,cul,False,False,1,0,0,0.0,0.0
témater,témater,mater,False,False,1,0,0,0.0,0.0
téma,téma,mater,False,False,1,0,0,0.0,0.0
télo,télo,hôtel,False,False,1,0,0,0.0,0.0
téco,téco,côté,False,False,1,0,0,0.0,0.0
técla,té-cla|técla,éclater,False,True,2,0,0,0.0,0.0
turfu,turfu,futur,False,False,1,0,0,0.0,0.0
tiéquar,tiéquar,quartier,False,False,1,0,0,0.0,0.0
tromé,tromé,métro,False,False,1,0,0,0.0,0.0
veuch,veuch,cheveu,False,False,1,0,0,0.0,0.0
wam,wam,moi,False,False,1,0,0,0.0,0.0
yavbou,yavbou,bouillaver,False,False,1,0,0,0.0,0.0
veul,veul,l'envers,False,False,1,0,0,0.0,0.0
verlan,verlan,l'envers,False,False,1,0,0,0.0,0.0
veski,veski,esquiver,False,False,1,0,0,0.0,0.0
zedou,zedou,douze,False,False,1,0,0,0.0,0.0
yeuve,yeuve,vieille,False,False,1,0,0,0.0,0.0
yeuz,yeuz,yeux,False,False,1,0,0,0.0,0.0
youv,youv,voyou,False,False,1,0,0,0.0,0.0
yencli,yencli,client,False,False,1,0,0,0.0,0.0
zicmu,zicmu,musique,False,False,1,0,0,0.0,0.0
zepo,zepo,posé,False,False,1,0,0,0.0,0.0
zermi,zermi,misère,False,False,1,0,0,0.0,0.0
ziva,ziva,vas-y,False,False,1,0,0,0.0,0.0
zient,zient,tunisien,False,False,1,0,0,0.0,0.0
zerver,zerver,verser,False,False,1,0,0,0.0,0.0
zonpri,zonpri,prison,False,False,1,0,0,0.0,0.0
zizique,zizique,musique,False,False,1,0,0,0.0,0.0
àoualp,à oualp,à poil,True,False,1,0,0,0.0,0.0
àtôbien,à tôbien,à bientôt,True,False,1,0,0,0.0,0.0
àwalpé,à walpé,à poil,True,False,1,0,0,0.0,0.0
