canonical_verlan	matched_variant	line_no	sentence
meuf	meuf	349973	T'es / e genre de mec Qui n'a pas de meuf
meuf	meuf	350577	Ouais, Wink a déjà pécho bien plus que le phone de ta meuf!
meuf	meuf	350647	Wink a baisé ma meuf
meuf	meuf	370523	Maren, c'est une meuf géniale!
meuf	meuf	426674	Mon gars... c'est la meuf à ton frère.
meuf	meuf	426959	Bandante, la meuf!
meuf	meuf	433062	{y: i} Il débarque quand tu parles {y: i} de ce que tu aurais pu avoir {y: i} La vérité, elle, est glacée {y: i} dans les verres à pied {y: i} dans le sommeil des enfants, {y: i} dans le repos des planètes {y: i} Elle est aussi proche et lointaine {y: i} que le crépuscule {y: i} Le bluff, {y: i} c'est quand on dit qu'on a une meuf {y: i} alors que c'est juste une pute {y: i} qui nous a taillé une pipe pour de la dope
meuf	meuf	433160	{y: i} T'es ma chienne, ma meuf {y: i} Tu peux m'embrasser, mais pas me niquer
meuf	meuf	433248	"{y: i} Je reviens de loin {y: i} Mais je continue à bouger, respirer {y: i} parce que ma vie, c'est tout ce que j'ai {y: i} J'essaie d'écrire, {y: i} mais ma meuf s'énerve et dit que je la soûle {y: i} J'essaie d'écrire {y: i} mais les bonnes intentions s'essoufflent {y: i} On est nombreux à revenir de loin {y: i} Les rues, c'est tout ce qu'on a, et de loin {y: i} Imagine {y: i} En ce moment, un petit du ghetto se dit {y: i} ""Une fois grand, {y: i} je ferai partie de la filière cubaine"" {y: i} Et la réalité le rattrape {y: i} en voyant les blattes dans l'évier {y: i} Et bien que les étoiles brillent aussi pour lui {y: i} la merde le guette, {y: i} il en prendra pour perpète {y: i} Son choix:"
meuf	meuf	578529	Une meuf grave bonne, hyper- consentante.
meuf	meuf	623294	Je me sens complètement inutile, pas de meuf, et bientôt sans emploi!
meuf	meuf	657513	Pourquoi t'es encore avec ma meuf?
meuf	meuf	657768	Mais là où ça craint... c'est quand je sors une meuf en ville.
meuf	meuf	662180	Je suis sur le point de bomber la gueule à cette meuf.
ouf	ouf	13626	- Ouf... ah!
ouf	ouf	32197	Ouf!
ouf	ouf	94598	Ouf, je suis content que ce soit fini.
ouf	ouf	99482	Ouf, j'ai cru que le resto offrait des capotes en promo.
ouf	ouf	111373	Un truc de ouf!
ouf	ouf	151926	Je vais entrer là comme un ouf.
ouf	ouf	187194	Ouf!
ouf	ouf	273368	"Sauf que cette fois, ce pauvre gars s'est figuré qu'il pourrait nous soutirer un petit quelque chose, et rendre quand- même l'argent au King, sans que personne n'ait eu le temps de dire ""ouf""."
ouf	ouf	286414	T'as pas fait ouf, il te faut d'autres trous.
ouf	ouf	291658	T'as pas fait ouf, il te faut d'autres trous.
ouf	ouf	294011	T'as pas fait ouf, il te faut d'autres trous.
ouf	ouf	349393	- ll est ouf, non?
ouf	ouf	349439	T'es ouf ou quoi?
ouf	ouf	350018	En voiture, toi et ta tchatche de ouf.
ouf	ouf	393469	Il rentre dans votre tête avant que vous ne disiez ouf.
ouf	ouf	403596	En islandais, le jaune d'ouf s'appelle le rouge.
ouf	ouf	407099	ll rentre dans votre tête avant que vous ne disiez ouf.
ouf	ouf	419772	On y sera avant qu'ils aient eu le temps de dire ouf.
ouf	ouf	426562	T'es ouf?
ouf	ouf	490922	Ouf, tu m'as fait peur
ouf	ouf	503090	- Ouf, parce que je m'en sers.
ouf	ouf	515183	- Il t'aurait sans doute... coupé la gorge avant que tu aies eu le temps de dire ouf.
ouf	ouf	719344	Papa, ce keum est ouf.
ouf	ouf	728739	Ouf, j'ai eu peur!
pécho	pécho	89738	A un cocktail Ford, j'ai pécho une mannequin nommée Karina.
pécho	pécho	89812	- J'ai rencontré une fille - T'as pécho une bonne salope?
pécho	pécho	89902	Moi et mon pote Mitch... sommes venus pécho quelques grammes.
pécho	pécho	227955	Pécho la caisse.
pécho	pécho	349815	Tu veux nous pécho?
pécho	pécho	350577	Ouais, Wink a déjà pécho bien plus que le phone de ta meuf!
pécho	pécho	350691	On va se pécho un méga contrat et à nous les gorettes!
resta	resta	39161	Il resta au milieu de tout ça, attendant de voir qui allait gagner.
resta	resta	131982	Le plomb resta logé entre deux phalanges de la main gauche de Chas.
resta	resta	133437	Elle resta à l'affiche un peu moins de 2 semaines, et reçut des critiques mitigées.
resta	resta	252192	Il resta debout.
resta	resta	259526	Le Père n'en resta pas là
resta	resta	296438	Quinze jours après, Pauline fut libérée mais resta en Nouvelle- Zélande jusqu'en 1965.
resta	resta	334389	Elle resta une catholique fervente jusqu'à sa mort en 1998.
resta	resta	421289	Il resta cachê trois jours.
resta	resta	603373	ll devint si gros qu'il resta coincé et le trésor fut piégé derrière lui pour l'éternité.
resta	resta	614781	Resta avec moi.
resta	resta	636785	Resta avec moi.
resta	resta	747884	Rex resta avec elles toute la nuit.
resta	resta	747925	Elle resta pour faire quelque chose d'inouï: parler aux moutons.
reum	reum	151623	Ta reum est naze.
reum	reum	349133	Passe un phone à ta reum
reum	reum	349138	Ta reum va regretter De ne pas avoir avorté!
reum	reum	349344	ll tape l'incruste chez ma reum.
reum	reum	349408	Tu sais, j'adore ta reum...
reum	reum	349470	Arrêtez de délirer sur ma reum et ma tire!
reum	reum	350021	J'appelle ta reum.
reum	reum	350128	Et ta reum, elle est où?
reum	reum	350480	Lyckety, dis à ta reum de me garder un plat au chaud.
reum	reum	350642	J'habite une rou / otte avec ma reum
ripou	ripou	260807	Ce ripou ramasse $5000 chaque mois.
ripou	ripou	265454	C'est un sale ripou sans foi ni loi... mais j'aime ça.
ripou	ripou	267338	C'est un sale ripou sans foi ni loi.
ripou	ripou	562789	"- ""Un ripou tire sur la caméra."""
ripou	ripou	618378	Il parait qu'ils croyaient que son partenaire était ripou mais le rapport est scellé.
scud	scud	555459	"Tu peux m'appeller ""Scud."" Ils le font tous."
scud	scud	555461	"Non, vieux, c'est ""Scud,"" comme dans ""rude."""
scud	scud	555499	Scud.
scud	scud	555683	Scud, tu me reçois?
scud	scud	555684	- Scud, tu me reçois?
scud	scud	611440	Scud.
scud	scud	727266	Non, ça, c'est Scud, idiot!
scud	scud	727480	Salut, Scud!
tej	tej	606422	Allez, Tej.
tej	tej	606432	- Pourquoi tu cours pas avec nous, Tej?
tej	tej	606452	"""Garage de Tej"""
tej	tej	606468	- QUoi de neuf, Tej?
tej	tej	606925	Le garage de Tej est ridicule.
tej	tej	606958	Hé, Tej Parker...
tej	tej	607006	Tej, dis.
tej	tej	607428	- Tej, tu vas perdre ton garage.
tej	tej	607447	Jimmy, comment tu vas me repayer si tu perds toujours contre Tej?
tej	tej	607449	Je vais me pieuter, Tej.
tej	tej	607569	- Tej.
tej	tej	607745	Tej.
teuf	teuf	206295	On a bien potassé la teuf...
teuf	teuf	215454	Allez, Vicky, la teuf de Stifler, ça va être génial
teuf	teuf	215576	On vient pour la teuf
teuf	teuf	215577	Quelle teuf?
teuf	teuf	215578	Y a pas de teuf
teuf	teuf	215579	Viens faire la teuf!
teuf	teuf	216243	On ira à la teuf de Stifler, après?
teuf	teuf	216489	Depuis cette teuf, hein?
teuf	teuf	216522	On va à une teuf sur le lac 4 ans qu'on attendait ça
teuf	teuf	216600	C'est une teuf d'enfer.
teuf	teuf	217893	Comme tous les clubbers du week- end, pour faire la teuf, faut du fric.
teuf	teuf	217896	"ll s'occupe juste des ""ordonnances"" pour la teuf."
teuf	teuf	218123	A nous les clubs, les bars, la dope et la teuf.
teuf	teuf	218654	Y a une teuf à Super Ely.
teuf	teuf	237508	Ce type sait faire la teuf!
teuf	teuf	239002	Ce type sait faire la teuf!
teuf	teuf	243668	Sacrée teuf, ça, mec!
teuf	teuf	244305	C'est comme rentrer le vendredi soir et faire ses devoirs tout de suite pour pouvoir faire la teuf le samedi soir?
teuf	teuf	246476	- Et ma teuf?
teuf	teuf	246551	Peut- être... que je peux donner la teuf du mois chez toi.
teuf	teuf	246554	Quelle teuf?
teuf	teuf	248078	- Et ma teuf?
teuf	teuf	248153	Peut- être... que je peux donner la teuf du mois chez toi.
teuf	teuf	248156	Quelle teuf?
teuf	teuf	472632	T'organises une teuf, non?
teuf	teuf	472640	Agnès, on vient à ta teuf!
teuf	teuf	472825	Elle fait une teuf.
teuf	teuf	472926	C'est quoi, cette teuf?
teuf	teuf	662287	Il doit être à une putain de teuf, dans une boîte branchée, avec Kinnear!
teuf	teuf	693088	- Si on gagnait la guerre... on y ferait la teuf.
teuf	teuf	698232	- Si on gagnait la guerre... on y ferait la teuf.
teuf	teuf	711830	Que la teuf commence!
teuf	teuf	723878	Je sais pas, mais il rate une teuf d'enfer!
teuf	teuf	725191	Je sais pas, mais il rate une teuf d'enfer!
vénère	vénère	47346	Je vénère tout ce qu'il représente.
vénère	vénère	127061	Elle le vénère.
vénère	vénère	219846	Je le vénère!
vénère	vénère	296047	Etje vénère le pouvoir de ces presque jumelles
vénère	vénère	347890	Wink dit que t'es vénère parce que Roy veut pas de ta démo.
vénère	vénère	348645	"""Si c'était vraiment une fleur, je voulais en voir une....... Pas que je vénère les orchidées, je ne les aimes pas particulièrement....... Je voulais avant tout voir cette chose...... par laquel les gens étaient attirés d'une manière si singulière, si profonde""."
vénère	vénère	349930	Bouffe ordurière Je suis vénère
vénère	vénère	349968	T'es trop vénère d'être MC pécore
vénère	vénère	350521	Y a pas de quoi être vénère.
vénère	vénère	350622	Papa est trop vénère.
vénère	vénère	354175	Elle me vénère.
vénère	vénère	433216	{y: i} Je déteste les menteurs {y: i} Je déteste voir ma mère en pleurs {y: i} Quand il l'a plantée pour son anniversaire, {y: i} on peut dire que j'étais vénère
vénère	vénère	443492	C'est évident que Williams vous vénère.
vénère	vénère	727765	En face, il y a un enfant qui te vénère.
zarb	zarb	237076	Ça vous paraît pas zarb, à vous?
zarb	zarb	237079	Zarb, non?
zarb	zarb	237081	Zarb.
zarb	zarb	237289	Ça, c'est zarb.
zarb	zarb	238570	Ça vous paraît pas zarb, à vous?
zarb	zarb	238573	Zarb, non?
zarb	zarb	238575	Zarb.
zarb	zarb	238783	Ça, c'est zarb.
zarb	zarb	243142	Ça c'est zarb.
zarbi	zarbi	45136	Ça va, le zarbi?
zarbi	zarbi	165593	Zarbi!
zarbi	zarbi	215580	Zarbi
zarbi	zarbi	242986	- Je me sens zarbi.
zarbi	zarbi	243083	- Un Indien zarbi à poil.
zarbi	zarbi	243107	- Suis l'Indien zarbi à poil.
zarbi	zarbi	243373	Il marche mal, votre œil zarbi?
zarbi	zarbi	243417	Zarbi.
zarbi	zarbi	244147	Je sais, c'est zarbi.
zarbi	zarbi	326095	Et puis, tout le monde pense que t'es zarbi.
zarbi	zarbi	342412	Et puis, tout le monde pense que t'es zarbi.
zarbi	zarbi	349508	Ma technique est zarbi Je griffe et tue
zarbi	zarbi	381688	Tu te souviens de la prof de gym zarbi, Mme Farmer?
zarbi	zarbi	439156	Mais les garces sont zarbi ici.
zarbi	zarbi	662007	T'es vraiment zarbi!
zarbi	zarbi	723973	Tu ne vois pas que tu insultes ce zarbi?
zarbi	zarbi	725286	Tu ne vois pas que tu insultes ce zarbi?
zen	zen	137737	Zen.
zen	zen	218758	Et Yoda, il est trop zen.
zen	zen	445475	Zen.
zen	zen	694671	J'étais le maître du zen.
zen	zen	711385	Restez zen.
zen	zen	711386	Impossible de rester zen en sa présence.
zen	zen	711605	Restez zen.
zen	zen	732674	Faut être zen, mec!
zinc	zinc	39804	On a pris un zinc jusqu'à Paraguaya pour trouver de la came.
zinc	zinc	118748	On sent toujours ce petit goût de zinc.
zinc	zinc	456453	Le zinc est en stand- by, chargé de matériel.
zinc	zinc	749389	Grâce à elle, mon zinc est bien meilleur qu'avant.
zinc	zinc	749396	Bousillons- lui son zinc écarlate en ne laissant que ses dettes!
zinc	zinc	750509	Gr† ce à elle, mon zinc est bien meilleur qu'avant.
zinc	zinc	750516	Bousillons- lui son zinc écarlate en ne laissant que ses dettes!
çacomme	ça comme	26025	Tâche de voir ça comme un jeu.
çacomme	ça comme	27552	Qui a garé ça comme ça?
çacomme	ça comme	38260	On peut appeler ça comme ça.
çacomme	ça comme	52557	Oui, si vous appelez ça comme ça.
çacomme	ça comme	72359	On peut dire ça comme ça.
çacomme	ça comme	84474	J'ai pas vu ça comme ça.
çacomme	ça comme	98857	On peut dire ça comme ça.
çacomme	ça comme	108248	J'apprécie votre enthousiasme, mais vous n'abordez pas ça comme il faut.
çacomme	ça comme	116946	Tu dis ça comme si ça m'importe.
çacomme	ça comme	125247	- J'avais jamais vu ça comme ça.
çacomme	ça comme	132852	Je sais pas de quoi tu parles mais je prends ça comme un compliment.
çacomme	ça comme	147460	Faisons ça comme les autres chiens.
çacomme	ça comme	154268	Prends ça comme un cadeau d'adieu.
çacomme	ça comme	156683	Prends ça comme un cadeau d'adieu.
çacomme	ça comme	165328	On faisait pas ça comme au ciné.
çacomme	ça comme	216494	T'appelles ça comme ça, toi?
çacomme	ça comme	222265	Prenez ça comme une aide médicale destinée aux parents.
çacomme	ça comme	230416	Non, t'as fait ça comme une pro.
çacomme	ça comme	244099	Je dois encaisser ça comme un homme.
çacomme	ça comme	258958	Envisage ça comme un jeu.
çacomme	ça comme	258989	Je donnais ça comme exemple.
çacomme	ça comme	262046	Vous dites ça comme si vous me connaissiez.
çacomme	ça comme	269654	Si t'évites pas les imprudences, les coups de poker... appelle ça comme tu veux alors, mon pote, tu finiras par plonger.
çacomme	ça comme	273731	Il y a une chose pour laquelle je paie pas, et je considère pas ça comme un boulot.
çacomme	ça comme	309413	On fête ça comme au bon vieux temps?
çacomme	ça comme	310958	- Frank! ll a dit ça comme ça!
çacomme	ça comme	321128	Je m'excuse, j'ai dit ça comme ça.
çacomme	ça comme	321286	Appelle ça comme tu veux, elle s'en met un paquet.
çacomme	ça comme	338609	Ils voient ça comme un signe.
çacomme	ça comme	338611	Le groupe numéro deux considère ça comme de la chance.
çacomme	ça comme	354837	J'aurais pas dit ça comme ça.
çacomme	ça comme	362820	On peut dire ça comme ça.
çacomme	ça comme	364379	- Appelle ça comme tu veux.
çacomme	ça comme	366891	Tu devrais prendra ça comme un signe et rompre une fois pour toutes.
çacomme	ça comme	396255	Je vois ça comme ça, on laisse le bétail et on s'enfuit, ou toi et moi on peut aller les surprendre pendant la nuit avant qu'ils dispersent le bétail.
çacomme	ça comme	405396	Ne vois surtout pas ça comme une punition.
çacomme	ça comme	425303	lnterprète ça comme tu veux. je suis au...
çacomme	ça comme	428850	J'ai eu ça comme arme.
çacomme	ça comme	429717	Je donne pas ça comme ça, sans savoir pour quoi faire.
çacomme	ça comme	430473	Si tu vois ça comme ça.
çacomme	ça comme	490623	Je n'ai pas dit ça comme ça
çacomme	ça comme	495642	Oui, on peut dire Ça comme Ça.
çacomme	ça comme	498759	Je disais ça comme ça.
çacomme	ça comme	500150	Prends ça comme tu veux... mais tu as été géniale, aujourd'hui.
çacomme	ça comme	512360	Considère ça comme une expérience.
çacomme	ça comme	515260	Généralement je prends ça comme un compliment.
çacomme	ça comme	518150	On va dire ça comme ça.
çacomme	ça comme	519184	marla, tu es vivante. tu dis ça comme si c'était une bonne chose.
çacomme	ça comme	531594	Je disais ça comme ça, histoire de causer.
çacomme	ça comme	535462	- Ne dis pas ça comme ça.
çacomme	ça comme	535667	Mais tu ne vas pas prendre ça comme excuse pour péter les plombs.
çacomme	ça comme	541080	Ne porte pas ça comme ça!
çacomme	ça comme	594303	J'ai fait ça comme ça.
çacomme	ça comme	597727	Tu fais ça comme un pro.
çacomme	ça comme	605124	Mr McElroy, considérez ça comme un geste de bonne volonté.
çacomme	ça comme	622292	Appelles- ça comme tu veux c'est de l'escravidâo,
çacomme	ça comme	632118	Une altération génétique, une anomalie... on doit pouvoir appeler ça comme ça.
çacomme	ça comme	648465	J'ai trouvê ça comme vêtement.
çacomme	ça comme	649711	J'ai trouvé ça comme vêtement.
çacomme	ça comme	664157	Putain, Je mourrais en riant si je sais que j'ai au moins fait ça comme il faut.
çacomme	ça comme	668303	Allons, vous n'avez pas besoin de ça comme protection.
çacomme	ça comme	669004	considère ça comme une dernière volonté
çacomme	ça comme	669022	Tu a réussi? on peut dire ça comme ça
çacomme	ça comme	675638	Putain, Je mourrais en riant si je sais que j'ai au moins fait ça comme il faut.
çacomme	ça comme	682966	Gardez ça comme référence.
çacomme	ça comme	694799	Non, ne règle pas ça comme le font tes mourants!
çacomme	ça comme	695502	- Tu vois ça comme ça?
çacomme	ça comme	712046	Disons ça comme ça et restons- en là.
çacomme	ça comme	714838	Il y a urgence, prends ça comme un service perso.
çacomme	ça comme	737905	Appelez- ça comme vous voulez.
