id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes,n_phenomena,component_phenomena,subphenomena,is_pure,standard_tokens,informal_tokens,standard_token_count,informal_token_count,standard_pll_score,informal_pll_score,standard_nll_score,informal_nll_score,standard_perplexity,informal_perplexity,representation_cosine_similarity,model_family
13,verlan,Cette femme trouve ce dossier louche.,Cette meuf trouve ce dossier chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁trouve', '▁ce', '▁dossier', '▁l', 'ouche', '.']","['▁Cette', '▁me', 'uf', '▁trouve', '▁ce', '▁dossier', '▁che', 'lou', '.']",8,9,-10.341097831726074,-10.525360107421875,,,,,0.939973771572113,masked_lm
14,verlan,Merci à son père pour le cadeau.,Cimer à son reup pour le cadeau.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁son', '▁père', '▁pour', '▁le', '▁cadeau', '.']","['▁C', 'imer', '▁à', '▁son', '▁re', 'up', '▁pour', '▁le', '▁cadeau', '.']",8,10,-10.291983604431152,-10.239825439453124,,,,,0.8307312726974487,masked_lm
15,verlan,Ta mère devient énervée à cause du retard.,Ta reum devient vénère à cause du retard.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁devient', '▁énervé', 'e', '▁à', '▁cause', '▁du', '▁retard', '.']","['▁Ta', '▁re', 'um', '▁devient', '▁vé', 'n', 'ère', '▁à', '▁cause', '▁du', '▁retard', '.']",10,12,-10.446493530273438,-10.373202006022135,,,,,0.8275537490844727,masked_lm
16,verlan,Cette femme et son frère trouvent cela bizarre.,Cette meuf et son reuf trouvent cela zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁et', '▁son', '▁frère', '▁trouvent', '▁cela', '▁bizarre', '.']","['▁Cette', '▁me', 'uf', '▁et', '▁son', '▁re', 'uf', '▁trouvent', '▁cela', '▁', 'zar', 'bi', '.']",9,13,-10.461132473415798,-10.54685269869291,,,,,0.9153245687484741,masked_lm
17,verlan,Mon frère trouve ce type lourd.,Mon reuf trouve ce type relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁trouve', '▁ce', '▁type', '▁lourd', '.']","['▁Mon', '▁re', 'uf', '▁trouve', '▁ce', '▁type', '▁re', 'lou', '.']",7,9,-10.301014491489955,-10.382022433810764,,,,,0.9216352105140686,masked_lm
18,verlan,Son père paraît fou en ce moment.,Son reup paraît ouf en ce moment.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁paraît', '▁fou', '▁en', '▁ce', '▁moment', '.']","['▁Son', '▁re', 'up', '▁paraît', '▁ou', 'f', '▁en', '▁ce', '▁moment', '.']",8,10,-10.34564208984375,-10.350836181640625,,,,,0.8288722634315491,masked_lm
19,verlan,Ta mère prépare une fête ce soir.,Ta reum prépare une teuf ce soir.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁prépare', '▁une', '▁fête', '▁ce', '▁soir', '.']","['▁Ta', '▁re', 'um', '▁prépare', '▁une', '▁te', 'uf', '▁ce', '▁soir', '.']",8,10,-10.38540267944336,-10.286835479736329,,,,,0.8717132806777954,masked_lm
20,verlan,Merci à cette femme pour sa patience.,Cimer à cette meuf pour sa patience.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁cette', '▁femme', '▁pour', '▁sa', '▁patience', '.']","['▁C', 'imer', '▁à', '▁cette', '▁me', 'uf', '▁pour', '▁sa', '▁patience', '.']",8,10,-10.27392292022705,-10.434789276123047,,,,,0.8775636553764343,masked_lm
21,verlan,Mon frère pense que ce voisin est bizarre.,Mon reuf pense que ce voisin est zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁pense', '▁que', '▁ce', '▁voisin', '▁est', '▁bizarre', '.']","['▁Mon', '▁re', 'uf', '▁pense', '▁que', '▁ce', '▁voisin', '▁est', '▁', 'zar', 'bi', '.']",9,12,-10.397537231445312,-10.411146799723307,,,,,0.9328039884567261,masked_lm
22,verlan,Cette femme devient énervée à cause du bus.,Cette meuf devient vénère à cause du bus.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁devient', '▁énervé', 'e', '▁à', '▁cause', '▁du', '▁bus', '.']","['▁Cette', '▁me', 'uf', '▁devient', '▁vé', 'n', 'ère', '▁à', '▁cause', '▁du', '▁bus', '.']",10,12,-10.321366882324218,-10.476309458414713,,,,,0.9323549270629883,masked_lm
23,verlan,Son père trouve ce projet lourd.,Son reup trouve ce projet relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁trouve', '▁ce', '▁projet', '▁lourd', '.']","['▁Son', '▁re', 'up', '▁trouve', '▁ce', '▁projet', '▁re', 'lou', '.']",7,9,-10.310010637555804,-10.248230828179253,,,,,0.9014460444450378,masked_lm
24,verlan,Ta mère pense que cette histoire est louche.,Ta reum pense que cette histoire est chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁pense', '▁que', '▁cette', '▁histoire', '▁est', '▁l', 'ouche', '.']","['▁Ta', '▁re', 'um', '▁pense', '▁que', '▁cette', '▁histoire', '▁est', '▁che', 'lou', '.']",10,11,-10.467672729492188,-10.382769497958096,,,,,0.8790260553359985,masked_lm
25,verlan,Merci à mon frère pour son aide.,Cimer à mon reuf pour son aide.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁mon', '▁frère', '▁pour', '▁son', '▁aide', '.']","['▁C', 'imer', '▁à', '▁mon', '▁re', 'uf', '▁pour', '▁son', '▁aide', '.']",8,10,-10.48854923248291,-10.507054138183594,,,,,0.8119321465492249,masked_lm
26,verlan,Cette femme veut une fête simple à la maison.,Cette meuf veut une teuf simple à la maison.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁veut', '▁une', '▁fête', '▁simple', '▁à', '▁la', '▁maison', '.']","['▁Cette', '▁me', 'uf', '▁veut', '▁une', '▁te', 'uf', '▁simple', '▁à', '▁la', '▁maison', '.']",10,12,-10.36040802001953,-10.511704762776693,,,,,0.9129020571708679,masked_lm
27,verlan,Mon frère paraît fou quand il est fatigué.,Mon reuf paraît ouf quand il est fatigué.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁paraît', '▁fou', '▁quand', '▁il', '▁est', '▁fatigué', '.']","['▁Mon', '▁re', 'uf', '▁paraît', '▁ou', 'f', '▁quand', '▁il', '▁est', '▁fatigué', '.']",9,11,-10.554534912109375,-10.389581853693182,,,,,0.8936921954154968,masked_lm
28,verlan,Ta mère devient lourde quand elle insiste trop.,Ta reum devient reloue quand elle insiste trop.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁devient', '▁lourde', '▁quand', '▁elle', '▁insiste', '▁trop', '.']","['▁Ta', '▁re', 'um', '▁devient', '▁re', 'lou', 'e', '▁quand', '▁elle', '▁insiste', '▁trop', '.']",9,12,-10.502105712890625,-10.361828486124674,,,,,0.8779136538505554,masked_lm
29,verlan,Son père trouve ce bruit bizarre.,Son reup trouve ce bruit zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁trouve', '▁ce', '▁bruit', '▁bizarre', '.']","['▁Son', '▁re', 'up', '▁trouve', '▁ce', '▁bruit', '▁', 'zar', 'bi', '.']",7,10,-10.389345441545759,-10.362581634521485,,,,,0.8654723763465881,masked_lm
30,verlan,Cette femme pense que ce plan est louche.,Cette meuf pense que ce plan est chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁pense', '▁que', '▁ce', '▁plan', '▁est', '▁l', 'ouche', '.']","['▁Cette', '▁me', 'uf', '▁pense', '▁que', '▁ce', '▁plan', '▁est', '▁che', 'lou', '.']",10,11,-10.28845672607422,-10.457292730158025,,,,,0.9385719299316406,masked_lm
31,verlan,Merci à ta mère pour le dîner.,Cimer à ta reum pour le dîner.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁ta', '▁mère', '▁pour', '▁le', '▁dîner', '.']","['▁C', 'imer', '▁à', '▁ta', '▁re', 'um', '▁pour', '▁le', '▁dîner', '.']",8,10,-10.473589897155762,-10.284425354003906,,,,,0.828050434589386,masked_lm
32,verlan,Mon frère prépare une fête pour ses amis.,Mon reuf prépare une teuf pour ses amis.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁prépare', '▁une', '▁fête', '▁pour', '▁ses', '▁amis', '.']","['▁Mon', '▁re', 'uf', '▁prépare', '▁une', '▁te', 'uf', '▁pour', '▁ses', '▁amis', '.']",9,11,-10.47409396701389,-10.429305336692117,,,,,0.907055139541626,masked_lm
33,verlan,Cette femme devient énervée à cause de la file.,Cette meuf devient vénère à cause de la file.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁devient', '▁énervé', 'e', '▁à', '▁cause', '▁de', '▁la', '▁file', '.']","['▁Cette', '▁me', 'uf', '▁devient', '▁vé', 'n', 'ère', '▁à', '▁cause', '▁de', '▁la', '▁file', '.']",11,13,-10.269331498579545,-10.388865544245792,,,,,0.9360679984092712,masked_lm
34,verlan,Son père trouve ce voisin bizarre.,Son reup trouve ce voisin zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁trouve', '▁ce', '▁voisin', '▁bizarre', '.']","['▁Son', '▁re', 'up', '▁trouve', '▁ce', '▁voisin', '▁', 'zar', 'bi', '.']",7,10,-10.40531485421317,-10.354739379882812,,,,,0.8640960454940796,masked_lm
35,verlan,Ta mère juge ce dossier louche.,Ta reum juge ce dossier chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁juge', '▁ce', '▁dossier', '▁l', 'ouche', '.']","['▁Ta', '▁re', 'um', '▁juge', '▁ce', '▁dossier', '▁che', 'lou', '.']",8,9,-10.508544921875,-10.470129224989149,,,,,0.8876272439956665,masked_lm
36,verlan,Merci à cette femme pour le message.,Cimer à cette meuf pour le message.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁cette', '▁femme', '▁pour', '▁le', '▁message', '.']","['▁C', 'imer', '▁à', '▁cette', '▁me', 'uf', '▁pour', '▁le', '▁message', '.']",8,10,-10.339863777160645,-10.52258529663086,,,,,0.9260984063148499,masked_lm
37,verlan,Mon frère trouve ce cours vraiment lourd.,Mon reuf trouve ce cours vraiment relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁trouve', '▁ce', '▁cours', '▁vraiment', '▁lourd', '.']","['▁Mon', '▁re', 'uf', '▁trouve', '▁ce', '▁cours', '▁vraiment', '▁re', 'lou', '.']",8,10,-10.412530899047852,-10.424942016601562,,,,,0.9396290183067322,masked_lm
38,verlan,Cette femme paraît bizarre dans cette histoire.,Cette meuf paraît zarbi dans cette histoire.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁paraît', '▁bizarre', '▁dans', '▁cette', '▁histoire', '.']","['▁Cette', '▁me', 'uf', '▁paraît', '▁', 'zar', 'bi', '▁dans', '▁cette', '▁histoire', '.']",8,11,-10.399009704589844,-10.52079981023615,,,,,0.9427215456962585,masked_lm
39,verlan,Ta mère organise une fête dans le quartier.,Ta reum organise une teuf dans le quartier.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁organise', '▁une', '▁fête', '▁dans', '▁le', '▁quartier', '.']","['▁Ta', '▁re', 'um', '▁organise', '▁une', '▁te', 'uf', '▁dans', '▁le', '▁quartier', '.']",9,11,-10.52398681640625,-10.458667408336293,,,,,0.9097453355789185,masked_lm
40,verlan,Son père devient énervé quand il conduit.,Son reup devient vénère quand il conduit.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁devient', '▁énervé', '▁quand', '▁il', '▁conduit', '.']","['▁Son', '▁re', 'up', '▁devient', '▁vé', 'n', 'ère', '▁quand', '▁il', '▁conduit', '.']",8,11,-10.306118965148926,-10.368731412020596,,,,,0.7893878817558289,masked_lm
41,verlan,Merci à mon frère pour le trajet.,Cimer à mon reuf pour le trajet.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁mon', '▁frère', '▁pour', '▁le', '▁trajet', '.']","['▁C', 'imer', '▁à', '▁mon', '▁re', 'uf', '▁pour', '▁le', '▁trajet', '.']",8,10,-10.40351676940918,-10.390953826904298,,,,,0.8399394154548645,masked_lm
42,verlan,Cette femme trouve ce silence louche.,Cette meuf trouve ce silence chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁trouve', '▁ce', '▁silence', '▁l', 'ouche', '.']","['▁Cette', '▁me', 'uf', '▁trouve', '▁ce', '▁silence', '▁che', 'lou', '.']",8,9,-10.335972785949707,-10.468027750651041,,,,,0.936589241027832,masked_lm
43,verlan,Mon frère pense que ce règlement est lourd.,Mon reuf pense que ce règlement est relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁pense', '▁que', '▁ce', '▁règlement', '▁est', '▁lourd', '.']","['▁Mon', '▁re', 'uf', '▁pense', '▁que', '▁ce', '▁règlement', '▁est', '▁re', 'lou', '.']",9,11,-10.456538730197483,-10.351518804376775,,,,,0.94610995054245,masked_lm
44,verlan,Ta mère paraît folle de joie avant la fête.,Ta reum paraît ouf de joie avant la teuf.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁paraît', '▁folle', '▁de', '▁joie', '▁avant', '▁la', '▁fête', '.']","['▁Ta', '▁re', 'um', '▁paraît', '▁ou', 'f', '▁de', '▁joie', '▁avant', '▁la', '▁te', 'uf', '.']",10,13,-10.499858856201172,-10.363508958082933,,,,,0.8808996081352234,masked_lm
45,verlan,Son père juge ce comportement bizarre.,Son reup juge ce comportement zarbi.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Son', '▁père', '▁juge', '▁ce', '▁comportement', '▁bizarre', '.']","['▁Son', '▁re', 'up', '▁juge', '▁ce', '▁comportement', '▁', 'zar', 'bi', '.']",7,10,-10.294665745326451,-10.296910095214844,,,,,0.86893230676651,masked_lm
46,verlan,Merci à son père pour son soutien.,Cimer à son reup pour son soutien.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Merci', '▁à', '▁son', '▁père', '▁pour', '▁son', '▁soutien', '.']","['▁C', 'imer', '▁à', '▁son', '▁re', 'up', '▁pour', '▁son', '▁soutien', '.']",8,10,-10.302057266235352,-10.268014526367187,,,,,0.780977725982666,masked_lm
47,verlan,Cette femme devient énervée en ce moment.,Cette meuf devient vénère en ce moment.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁devient', '▁énervé', 'e', '▁en', '▁ce', '▁moment', '.']","['▁Cette', '▁me', 'uf', '▁devient', '▁vé', 'n', 'ère', '▁en', '▁ce', '▁moment', '.']",9,11,-10.288577609592014,-10.448274092240768,,,,,0.9033852219581604,masked_lm
48,verlan,Mon frère trouve ce regard louche.,Mon reuf trouve ce regard chelou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Mon', '▁frère', '▁trouve', '▁ce', '▁regard', '▁l', 'ouche', '.']","['▁Mon', '▁re', 'uf', '▁trouve', '▁ce', '▁regard', '▁che', 'lou', '.']",8,9,-10.372138977050781,-10.438919915093315,,,,,0.9177635908126831,masked_lm
49,verlan,Ta mère dit que ce travail est lourd.,Ta reum dit que ce travail est relou.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Ta', '▁mère', '▁dit', '▁que', '▁ce', '▁travail', '▁est', '▁lourd', '.']","['▁Ta', '▁re', 'um', '▁dit', '▁que', '▁ce', '▁travail', '▁est', '▁re', 'lou', '.']",9,11,-10.464739481608072,-10.452260797674006,,,,,0.9084464311599731,masked_lm
50,verlan,Cette femme et son frère préparent une fête.,Cette meuf et son reuf préparent une teuf.,1,verlan lexical substitution,1,verlan,verlan_lexical,1,"['▁Cette', '▁femme', '▁et', '▁son', '▁frère', '▁préparent', '▁une', '▁fête', '.']","['▁Cette', '▁me', 'uf', '▁et', '▁son', '▁re', 'uf', '▁préparent', '▁une', '▁te', 'uf', '.']",9,12,-10.499621073404947,-10.55048942565918,,,,,0.8742210268974304,masked_lm
51,sms,"Peux-tu m'envoyer le numéro du rendez-vous, s'il te plaît ?","Peux-tu m'envoyer le num du rdv, stp ?",1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁P', 'eux', '-', 'tu', '▁m', ""'"", 'envoyer', '▁le', '▁numéro', '▁du', '▁rendez', '-', 'vous', ',', '▁s', ""'"", 'il', '▁te', '▁plaît', '▁?']","['▁P', 'eux', '-', 'tu', '▁m', ""'"", 'envoyer', '▁le', '▁n', 'um', '▁du', '▁rdv', ',', '▁st', 'p', '▁?']",20,16,-10.426083374023438,-10.436321258544922,,,,,0.9495018720626831,masked_lm
52,sms,Quelqu'un a laissé beaucoup de messages aujourd'hui.,Quelqu'un a laissé bcp de msg ajd.,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Quelqu', ""'"", 'un', '▁a', '▁laissé', '▁beaucoup', '▁de', '▁messages', '▁aujourd', ""'"", 'hui', '.']","['▁Quelqu', ""'"", 'un', '▁a', '▁laissé', '▁bcp', '▁de', '▁m', 's', 'g', '▁a', 'j', 'd', '.']",12,14,-10.386114120483398,-10.412453787667411,,,,,0.8727218508720398,masked_lm
53,sms,Je serai en retard de quinze minutes pour le rendez-vous.,Je serai en retard de 15 min pr le rdv.,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Je', '▁serai', '▁en', '▁retard', '▁de', '▁quinze', '▁minutes', '▁pour', '▁le', '▁rendez', '-', 'vous', '.']","['▁Je', '▁serai', '▁en', '▁retard', '▁de', '▁15', '▁min', '▁pr', '▁le', '▁rdv', '.']",13,11,-10.471757155198317,-10.462061101740057,,,,,0.9167666435241699,masked_lm
54,sms,Pourquoi y a-t-il beaucoup de monde au rendez-vous aujourd'hui ?,Pourquoi y a-t-il bcp de monde au rdv ajd ?,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Pourquoi', '▁y', '▁a', '-', 't', '-', 'il', '▁beaucoup', '▁de', '▁monde', '▁au', '▁rendez', '-', 'vous', '▁aujourd', ""'"", 'hui', '▁?']","['▁Pourquoi', '▁y', '▁a', '-', 't', '-', 'il', '▁bcp', '▁de', '▁monde', '▁au', '▁rdv', '▁a', 'j', 'd', '▁?']",18,16,-10.211507161458334,-10.268255233764648,,,,,0.8614705801010132,masked_lm
55,sms,"Nous confirmons le rendez-vous de demain, s'il vous plaît.","Nous confirmons le rdv de demain, svp.",1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Nous', '▁confirm', 'ons', '▁le', '▁rendez', '-', 'vous', '▁de', '▁demain', ',', '▁s', ""'"", 'il', '▁vous', '▁plaît', '.']","['▁Nous', '▁confirm', 'ons', '▁le', '▁rdv', '▁de', '▁demain', ',', '▁svp', '.']",16,10,-10.385212898254395,-10.4244384765625,,,,,0.9138786792755127,masked_lm
56,sms,Le message contient le numéro de la salle.,Le msg contient le num de la salle.,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Le', '▁message', '▁contient', '▁le', '▁numéro', '▁de', '▁la', '▁salle', '.']","['▁Le', '▁m', 's', 'g', '▁contient', '▁le', '▁n', 'um', '▁de', '▁la', '▁salle', '.']",9,12,-10.525191413031685,-10.448193868001303,,,,,0.9438373446464539,masked_lm
57,sms,Quelqu'un peut rappeler le numéro du professeur ?,Quelqu'un peut rappeler le num du professeur ?,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Quelqu', ""'"", 'un', '▁peut', '▁rappeler', '▁le', '▁numéro', '▁du', '▁professeur', '▁?']","['▁Quelqu', ""'"", 'un', '▁peut', '▁rappeler', '▁le', '▁n', 'um', '▁du', '▁professeur', '▁?']",10,11,-10.526409912109376,-10.58047832142223,,,,,0.9853744506835938,masked_lm
58,sms,J'ai beaucoup de travail aujourd'hui.,J'ai bcp de travail ajd.,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁J', ""'"", 'ai', '▁beaucoup', '▁de', '▁travail', '▁aujourd', ""'"", 'hui', '.']","['▁J', ""'"", 'ai', '▁bcp', '▁de', '▁travail', '▁a', 'j', 'd', '.']",10,10,-10.330124664306641,-10.289141845703124,,,,,0.7628697752952576,masked_lm
59,sms,Merci de répondre au message pour le rendez-vous.,Merci de répondre au msg pr le rdv.,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Merci', '▁de', '▁répondre', '▁au', '▁message', '▁pour', '▁le', '▁rendez', '-', 'vous', '.']","['▁Merci', '▁de', '▁répondre', '▁au', '▁m', 's', 'g', '▁pr', '▁le', '▁rdv', '.']",11,11,-10.42351046475497,-10.520787325772373,,,,,0.9153352379798889,masked_lm
60,sms,Pourquoi le message arrive-t-il si tard aujourd'hui ?,Pourquoi le msg arrive-t-il si tard ajd ?,1,sms abbreviation/contraction,1,sms,sms_graphic,1,"['▁Pourquoi', '▁le', '▁message', '▁arrive', '-', 't', '-', 'il', '▁si', '▁tard', '▁aujourd', ""'"", 'hui', '▁?']","['▁Pourquoi', '▁le', '▁m', 's', 'g', '▁arrive', '-', 't', '-', 'il', '▁si', '▁tard', '▁a', 'j', 'd', '▁?']",14,16,-10.258289882114955,-10.242740631103516,,,,,0.8335614204406738,masked_lm
