id,phenomenon,standard_sentence,informal_sentence,meaning_same,notes
117,spoken,Nous ne pouvons pas rester plus longtemps.,On peut pas rester plus longtemps.,1,spoken subject + negation drop
118,spoken,Qu'avez-vous décidé ?,Vous avez décidé quoi ?,1,spoken question order
119,spoken,Je ne comprends pas bien.,Je comprends pas bien.,1,negation drop
120,spoken,Nous allons prendre le train de dix heures.,On va prendre le train de dix heures.,1,spoken subject + future proche
121,spoken,Tu n'as rien oublié ?,T'as rien oublié ?,1,contraction + negation drop
122,spoken,Je vais le faire demain.,Je vais faire ça demain.,1,minor restructuring
123,spoken,Il ne connaît personne ici.,Il connaît personne ici.,1,negation drop
124,spoken,Cela ne change rien.,Ça change rien.,1,demonstrative reduction + negation drop
125,spoken,Pourquoi ne viens-tu pas avec nous ?,Pourquoi tu viens pas avec nous ?,1,spoken order + negation drop
126,spoken,Nous avons besoin de plus de temps.,On a besoin de plus de temps.,1,spoken subject
127,spoken,Elle n'a jamais essayé.,Elle a jamais essayé.,1,negation drop
128,spoken,Est-ce que vous pouvez répéter ?,Vous pouvez répéter ?,1,question simplification
129,spoken,Je ne l'ai pas encore vu.,Je l'ai pas encore vu.,1,negation drop
130,spoken,Nous devons y aller tout de suite.,On doit y aller tout de suite.,1,spoken subject
131,spoken,Ce film ne me plaît pas.,Ce film me plaît pas.,1,negation drop
132,spoken,Que veux-tu dire exactement ?,Tu veux dire quoi exactement ?,1,spoken question order
133,spoken,Il n'y a rien à faire.,Y a rien à faire.,1,initial reduction + negation drop
134,spoken,Nous allons manger dehors ce soir.,On va manger dehors ce soir.,1,spoken subject + future proche
135,spoken,Cela me fait plaisir.,Ça me fait plaisir.,1,demonstrative reduction
136,spoken,Je ne peux pas venir ce soir.,Je peux pas venir ce soir.,1,negation drop
137,spoken,Pourquoi as-tu dit ça ?,Pourquoi t'as dit ça ?,1,contraction + spoken question order
138,spoken,Nous avons fini plus tôt que prévu.,On a fini plus tôt que prévu.,1,spoken subject
139,spoken,Il n'a plus de batterie.,Il a plus de batterie.,1,negation drop
140,spoken,Qu'est-ce qui se passe ?,Il se passe quoi ?,1,spoken question order
141,spoken,Cela ne sert à rien.,Ça sert à rien.,1,demonstrative reduction + negation drop
142,spoken,Je ne veux plus attendre.,Je veux plus attendre.,1,negation drop
143,spoken,Nous allons voir ce qu'il dit.,On va voir ce qu'il dit.,1,spoken subject + future proche
144,spoken,Est-ce que ça te convient ?,Ça te va ?,1,spoken paraphrase
145,spoken,Il ne faut pas s'inquiéter.,Faut pas s'inquiéter.,1,subject omission + negation drop
146,spoken,Tu ne viens jamais ici.,Tu viens jamais ici.,1,negation drop
147,spoken,Nous ne savons pas encore.,On sait pas encore.,1,spoken subject + negation drop
148,spoken,Cela dépend de la situation.,Ça dépend de la situation.,1,demonstrative reduction
149,spoken,Que regardez-vous ?,Vous regardez quoi ?,1,spoken question order
150,spoken,Je n'ai plus faim.,J'ai plus faim.,1,negation drop
