verlan_form,base_form,pos,etymology_text,gloss,experiment_keep,experiment_tier,selection_reason
tarpé,pétard,noun,(verlan) Verlan de pétard.,"Cigarette contenant du cannabis souvent mélangé à du tabac. Ce terme s’apparente plus spécialement aux cigarettes de cannabis sous forme d’herbe dont la présence de petites tiges et de feuilles produit des crépitements et de petits éclats en brûlant. Quand le cannabis est associé au tabac dans une cigarette, on parle de joint.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tehon,honte,noun,(verlan) Verlan de honte.,Honte.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tepo,pote,noun,Verlan de pote De pote.,"Ami, copain.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tiéquar,quartier,noun,(verlan) Verlan de quartier.,"Quartier, zone périurbaine où vivent les classes populaires.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tromé,métro,noun,(verlan) De métro.,Métro.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
turfu,futur,noun,(verlan) Du mot français futur.,Futur.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
téci,cité,noun,(Verlan) De cité.,Cité ; quartier d’habitation populaire.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
zermi,misère,noun,(verlan) Verlan de misère.,Misère.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
zicmu,musique,noun,(verlan) Verlan de musique.,Musique.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
iech,chier,verb,(verlan) de chier.,Chier.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
méfu,fumer,verb,(verlan) Verlan de fumer.,Fumer.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
pécho,choper,verb,(verlan) Verlan de choper (« attraper »).,Attraper ; avoir.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
tej,jeter,verb,Verlan de jeter.,Jeter.,True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
téma,mater,verb,(Verlan) Verlan de mater.,"Mater, regarder.",True,core,core: clear mapping; stable enough for controlled lexical substitution experiments
cainri,ricain,adj,(verlan) Verlan de ricain.,Américain.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
beuher,herbe,noun,"(verlan) Verlan de herbe, → voir beu.",Inflorescences de cannabis.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
keuf,flic,noun,"Verlan de flic Apocope de keufli, du mot flic (mot d’argot pour policier) via la forme non apocopée keufli (parfois utilisée mais non lexicalisée).",Policier ; agent de police.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
noich,chinois,noun,(verlan) Verlan de chinois ; apocope de noichi.,Chinois.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
reuf,frère,noun,"(verlan) Mot formé par apocope de reufré, verlan de frère.",Frère.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
reum,mère,noun,"Apocope de reumé, Verlan de mère.",Mère.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
scud,disque,noun,(verlan) Verlan de disque.,Disque musical. Album.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
tepu,pute,noun,(verlan) Du nom pute.,Pute.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
teub,bite,noun,"Verlan de bite de bite (mot d’argot pour pénis). La forme non apocopée, teubi, est plus rare.",Pénis ; verge.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
teuch,chatte,noun,"Verlan du mot chatte (mot d’argot pour vulve). La forme non apocopée, teucha, est plus rare.",Vulve.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
teuchi,shit,noun,Verlan de shit.,Résine de cannabis ; haschich.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
teuf,fête,noun,"(verlan) (XXᵉ siècle) référence nécessaire (résoudre le problème) Par apocope de teufé, verlan de fête. || Mot apparu vers le milieu des années 1960 avec le développement du verlan en France. référence nécessaire (résoudre le problème)",Fête.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
tiek,quartier,noun,(verlan) Apocope d’une des variations du verlan de quartier.,Zone périurbaine où vivent les classes populaires.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
youv,voyou,noun,"(verlan) Apocope de youvoi, verlan de voyou.",Voyou.,True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
zarb,bizarre,noun,"  || (Adjectif) (verlan) Apocope de zarbi, verlan de bizarre.","Instrument de percussion digitale originaire d’Iran, composé d’une seule pièce de bois creuse de forme cylindrique dont l’ouverture est fermée par une peau tendue.",True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
zique,musique,noun,"Aphérèse de musique, référence nécessaire (résoudre le problème) (verlan), apocope de zicmu. référence nécessaire (résoudre le problème)",", Musique.",True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
ken,niquer,verb,"(verlan) De niquer. apocope de kéni ou quéni. Sans rapport étymologique avec Ken, le compagnon de Barbie.","Niquer (au sens sexuel), faire l’amour.",True,extended,"extended: useful item, but less clean morphologically (often apocope/extra lexicalization)"
