verlan_form,base_form,pos,etymology_text,gloss
bédaver,daube,verb,"Formé à partir du mot français bédo, lui-même verlan de « daube », pris dans le sens de haschisch de médiocre qualité, puis de haschisch sans connotation particulière. La terminaison en -av rappelle le romani, la langue des Roms dont s’inspire l’argot gitan, qui inspire lui-même l’argot des cités.",Fumer (en particulier fumer du haschisch ou de la marijuana).
bédav’,daube,verb,"Formé à partir du mot français bédo, lui-même verlan de « daube », pris dans le sens de haschisch de médiocre qualité, puis de haschisch sans connotation particulière. La terminaison en -av rappelle le romani, la langue des Roms dont s’inspire l’argot gitan, qui inspire lui-même l’argot des cités.",Fumer (en particulier fumer du haschisch ou de la marijuana).
bédo,daube,noun,"(verlan) Verlan de daube, bédo faisait référence à un joint de sav’ (savonnette), haschich de mauvaise qualité, très répandu dans les années 1990. C'est ce qu'on appelle un pétard. || Autre étymologie, défendue par le linguiste Jean-Pierre Goudaillier : emprunt au romani bédo (« truc », « machin »).",Morceau de haschisch.
béger,gerber,verb,(verlan) de gerber.,Vomir.
caillera,racaille,noun,(verlan) Verlan de racaille : \ʁa.kaj\ devenu \kaj.ʁa\.,Groupe de personnes considérées comme méprisables dans une population.
cainri,ricain,adj,(verlan) Verlan de ricain.,Américain.
Cainri,Ricain,noun,(verlan) Verlan de Ricain.,Américain.
chanmé,méchant, adj,"(verlan) De méchant, par antiphrase.","Remarquable et admirable, particulièrement agréable, génial."
charclo,clochard,noun,Verlan de clochard Verlan de clochard.,Clochard.
chelou,louche,adj,"(verlan) Verlan de louche, au sens de bizarre, par inversion des deux syllabes.","Bizarre, étrange, voire vraiment bizarre, très étrange."
chemo,moche,adj,(verlan) Verlan de moche.,Moche.
chepo,poche,noun,Verlan de poche.,Poche.
cheum,moche,adj,Verlan de moche.,Moche.
chichon,haschich,noun,"(verlan)Dérivé de chicha, avec le suffixe -on, verlan de haschich.",Variété de pâté de porc souvent mélangé à du canard.
chien d’la sseca,chien de la casse,noun,,Variante de chien de la casse.
chébran,branché,adj,(verlan) Verlan de branché.,Branché (surtout utilisé dans les années 1980 et 1990).
chéper,perché,adj,(verlan) De perché.,Sous l’emprise de psychotrope.
cimer,merci,intj,(verlan) Du mot français merci.,Merci.
comaque,comme ça,adj,(verlan) De l’occitan coma aquò (« comme ça »).,Comme ça.
comme as,comme ça,adv,"(verlan) Transformation de la locution comme ça en verlan, avec le ça \sa\ inversé en \as\.","Comme ça, ainsi."
céfran,français,noun,(verlan) Verlan de français.,Français (langue).
das,sida,noun,"Apocope de dassi, verlan de sida.",Sida.
dass,sida,name,(Sigle) Initiales de « Directeur des affaires sanitaires et sociales ». || (verlan) pour sida.,Directeur des affaires sanitaires et sociales.
de ouf,fou,adj,"Composé de de et de ouf, verlan de fou.",Vraiment ; beaucoup ; bien.
despee,speed,adj,Verlan de l’anglais speed qui signifie « rapidement » .,"Pressé, qui n’a pas le temps."
despi,speed,adv,Verlan de speed.,"Rapidement, vite."
diostu,studio,noun,(verlan) Verlan de studio.,Studio.
donf,fond,noun,(verlan) De fond.,Utilisé dans la locution à donf.
drauper,perdreau,noun,Inversion des syllabes de perdreau.,Policier.
dreu,poudre,noun,"(verlan) apocope de dreupou, verlan de poudre.",Héroïne.
dular,lardu,noun,(verlan) Verlan de lardu.,Policier.
duper,perdu,adj,(verlan) Verlan de perdu.,Perdu.
eins,seins,noun,(verlan) Verlan de seins.,Seins.
en scred,discret,adv,"(verlan) Composée d’en et du verlan scred, « discret ».",Discrètement.
feuge,juif,noun,(verlan) de Juif.,Juif.
feuj,juif,adj,"(verlan) De juif, apocope du verlan feujui.",Juif.
feujui,juif,noun,(verlan) Verlan du mot juif.,Juif.
feukeu,flic via keuf,noun,Reverlanisation de flic via keuf.,Flic.
feum,femme,noun,"Apocope de feumeu, reverlanisation de meuf, verlan de femme.","Femme, meuf."
feumeu,femme via meuf,noun,Reverlanisation de femme via meuf (meuf = \mə.fə\ → feumeu = \fə.mə\).,"Femme, fille."
ficha,afficher,verb,(verlan) De afficher.,Humilier publiquement.
fisha,affiché,adj,(verlan) De affiché.,"Affiché, généralement dans le cadre d'images de revenge porn."
fonbou,bouffon,noun,(verlan) de bouffon.,"Bouffon, personne ridicule."
foncedé,défoncé,adj,(verlan) de défoncé.,"Défoncé, drogué, stone."
galsen,Sénégal,adj,"(verlan) Verlan de Sénégal avec suppression du deuxième ""é""","Sénégal, Sénégalais."
genhar,argent,noun,Verlan de argent.,"Argent, sou."
gent ar,argent,noun,(verlan) De argent.,Argent.
golgo,gogol,noun,(verlan) Verlan de gogol.,Personne stupide ou pas très intelligente.
golmon,mongol,noun,Verlan de mongol.,"(Injurieux envers un groupe ethnique) Personne dénuée d'intelligence, de jugement, de bon sens."
golri,rigole,verb,"(verlan) De goleri, verlan de rigole. référence nécessaire (résoudre le problème)",Rigoler.
gova,vago,noun,(verlan) De vago.,Voiture.
guedin,dingue,noun,(verlan) Verlan de dingue.,Dingue ; tête brûlée.
gueush,schlague,noun,"De schlague, en verlan, avec une apocope.","Drogué, personne qui se drogue."
gueustri,string,noun,(verlan) De string.,String.
iech,chier,verb,(verlan) de chier.,Chier.
ienb,bien,adv,(verlan) de bien.,Bien.
iench,chien,noun,Verlan de chien.,Chien.
iencli,client,noun,(verlan) Verlan de client.,Client (généralement une personne qui achète de la drogue).
ive,vie,noun,Verlan de vie.,Vie.
ièp,pied,noun,(verlan) de pied.,Pied.
kainri,ricain,adj,"(verlan) Verlan de ricain, la présence du k se fait comme dans keuf, keum ou keus. référence nécessaire (résoudre le problème)",Américain.
Kainri,Ricain,noun,(verlan) Verlan de Ricain.,Américain.
karna,arnaque,verb,(verlan) Verlan de arnaque.,Arnaquer.
kassded,dédicace,noun,Verlan stylisé de dédicace.,Dédicace.
kaïra,caillera,noun,(verlan) → voir caillera.,Variante de caillera.
kebla,black,noun,"(verlan) Verlan du mot « black », désignant les personnes de couleur noire. Le mot « black » vient de l'anglais signifiant « noir ».",Noir (personne noire).
ken,niquer,verb,"(verlan) De niquer. apocope de kéni ou quéni. Sans rapport étymologique avec Ken, le compagnon de Barbie.","Niquer (au sens sexuel), faire l’amour."
keubla,black,noun,"(verlan) Terme dérivé de l'anglais ""black"" (« noir »).",Individu d’Afrique subsaharienne.
keuf,flic,noun,"Verlan de flic Apocope de keufli, du mot flic (mot d’argot pour policier) via la forme non apocopée keufli (parfois utilisée mais non lexicalisée).",Policier ; agent de police.
keum,mec,noun,(verlan) Verlan de mec.,Mec.
keumé,mec,noun,(verlan) Verlan de mec.,variante de keum.
keupon,punk,noun,(verlan) Verlan de punk avec altération mécanique de la voyelle nasale et épenthèse.,Celui qui est punk.
keus,sac,noun,(verlan) De sac.,Unité de monnaie : dix francs ou euros. Argent.
keuss,sec,adj,(verlan) Verlan de sec.,Mince voire maigre.
keusse,sac,noun,"Pour la pierre à aiguiser : Du latin cos, cotis ; queux en français || (verlan) Pour le billet de dix francs : Du verlan de sac ; avant l'euro, le billet de 100 francs était un billet de dix sacs.",Pierre à aiguiser.
keut,truc,noun,"(verlan) apocope de keutru, verlan de truc.",Truc.
kisdé,déguisé,noun,(verlan) De déguisé.,Policier en civil.
kom ass,comme ça,adv,(verlan) → voir comme as.,Variante orthographique de comme as.
kéblo,bloqué,adj,"(verlan) Verlan de bloqué, bloquer.",Bloqué.
képi,piquer,noun,"De l’allemand Käppi, diminutif de Kappe (« bonnet », « casquette »). || (Verbe) (verlan) Verlan de piquer","Sorte de coiffure semi-rigide, à fond plat, en drap, munie d’une visière, en usage dans certaines armées."
laisse béton,laisser tomber,verb,"(Verlan). Verlan de l’impératif singulier de l’expression laisser tomber. || Composé de laisser, tomber et béton.",Laisse tomber.
legeu,gueule,noun,De gueule.,Gueule.
lice-po,police,noun,(verlan) Verlan de police.,La police
lopsa,salope,adj,Forme au verlan de salope.,Qui inspire le dégoût et la répugnance.
loubard,balourd,noun,"(Verlan). De balourd, avec influence de loulou ^([1]), lui-même réduplication de loup, avec le suffixe -ard. || Le suffixe -ard pourrait ici provenir de l’abréviation de l’expression ""loulou de barrière"", barrière s’entendant des barrières de Paris, ouvrant sur ce qu’on appelait autrefois ""la zone"" (la zone non aedificandi des fortifications de Paris). En d’autres termes un loubard est un loulou de barrière, un loup (voyou) de la zone. référence nécessaire (résoudre le problème)","Jeune au comportement marginal, ressenti comme une menace, un danger et souvent effectivement délinquant."
ma legeu,gueule,noun,De ma gueule.,"Ma geule, mon pote, mec."
merdeuf,mère de famille,noun,"Apocope (verlan) de ""mère de famille"" (début du XXIème) dont la consonance évoque meuf (« femme ») en verlan.",Femme absorbée par son rôle de mère de famille.
mesper,sperme,noun,Verlanisation de sperme.,Sperme.
Meuda,Dam,name,(verlan) De Dam.,Amsterdam.
meuf,femme,noun,"(verlan) Verlan de femme, remonte au moins à 1984 (attesté dans le film À Nous les Garçons), à travers la forme meufa, elle-même existant en 1971 dans la chanson de Jacques Dutronc J’avais la cervelle qui faisait des vagues. référence nécessaire (résoudre le problème)",Individu de sexe ou genre féminin.
meufeu,feumeu,noun,"Verlan de feumeu, lui-même verlan de meuf, qui est lui-même verlan de femme.","Meuf, femme."
meugra,gramme,noun,(verlan).,Gramme.
meureu,mère via reum,noun,Reverlanisation de mère via reum.,Mère.
mif,famille,noun,(verlan) Apocope de mifa.,"Synonyme de mifa, famille."
mifa,famille,noun,(verlan) Verlan de famille.,"Famille, bande, clan."
millefa,famille De famille,noun,Verlan de famille De famille.,"Famille, bande, clan."
méfu,fumer,verb,(verlan) Verlan de fumer.,Fumer.
nawak,portnawak,pron,"(verlan) Aphérèse de portnawak. Mot dérivé du verlan de n’importe quoi qui a donné portninwak \pɔʁt.nɛ̃.wak\, puis portnawak \pɔʁt.na.wak\ par substitution de la séquence \a.wa\ à la séquence \ɛ̃.wa\ étrangère à la langue française. || Son dérivé et synonyme n’importe nawak \nɛ̃.pɔʁt.na.wak\ suit la règle de la redondance expressive que l’on trouve, par exemple dans au jour d’aujourd’hui.","N’importe quoi, absurde, sans rapport, qui ne veut rien dire."
ndepso,pédé,noun,(verlan) Forme pidginisée du verlan dep lui-même issu de pédé.,Pédé.
ner-tour,tourner.,verb,(verlan) De tourner.,Tourner.
neurchi,chineur,noun,(verlan) De chineur en verlan.,Groupe Facebook dont les membres partagent des contenus humoristiques.
nique ta reum,nique ta mère,intj,"(Verlan).Composé de nique, ta et reum.",Variante de nique ta mère.
noich,chinois,noun,(verlan) Verlan de chinois ; apocope de noichi.,Chinois.
n’importe nawak,n’importe quoi,pron,"(verlan) Mot dérivé par redondance de portnawak (ou portninwak, qui a aussi évolué vers nawak), lui même verlan de n’importe quoi. Étymologiquement parlant, c’est une locution doublement redondante.","Nawak, n’importe quoi."
oim,moi,pron,(verlan) Verlan de moi.,Moi.
oinj,joint,noun,(verlan) Verlan de joint.,"Joint, cigarette de cannabis."
oit,toi,pron,(Verlan) Verlan de toi.,Toi.
ouej,jouer,verb,(verlan) De jouer.,Jouer.
oufissime,fou,adj,"(verlan) De ouf (verlan de « fou »), avec le suffixe -issime.",Extrêmement ouf ; complètement fou.
ouèj,jouer,verb,(verlan) De jouer.,Jouer.
painco,copain,noun,(verlan) de copain.,Copain.
pera,rap,noun,(verlan) Verlan de rap.,Rap (style musical).
peta,taper,verb,(verlan) de taper.,Voler (quelque chose).
peufra,frappe,noun,(verlan) → voir frappe,Catégorie supérieure de résine de cannabis.
pineco,copine de copine,noun,Verlan de copine de copine.,Copine.
portenawak,n’importe quoi,pron,(verlan) Verlan de n’importe quoi : n’importe quoi > nin-porte k-oi > porte-nin oi-k (porteninwak) > porte-na wa-k (portenawak).,N’importe quoi.
portnawak,n’importe quoi,pron,"(verlan) Verlan de n’importe quoi : \nɛ̃.pɔʁ.tə kwa\, abrégé en \nɛ̃.pɔʁt kwa\, s’inverse mot à mot en \pɔʁt.nɛ̃.wak\ (portninwak) et se dénasalise en \pɔʁt.na.wak\ pour éviter la séquence étrangère \nɛ̃.wak\.",N’importe quoi.
portninwak,n’importe quoi,pron,"(verlan) Verlan de n’importe quoi : \nɛ̃.pɔʁ.tə kwa\, abrégé en \nɛ̃.pɔʁt kwa\, s’inverse mot à mot en \pɔʁt.nɛ̃.wak\ ; il existe une forme dénasalisée en \pɔʁt.na.wak\ : portnawak.",N’importe quoi.
pécho,choper,verb,(verlan) Verlan de choper (« attraper »).,Attraper ; avoir.
pépom,pomper,verb,(verlan) Du verbe pomper.,Administrer une fellation ; gamahucher un pénis.
péta,taper,verb,(verlan) de taper.,Voler (quelque chose).
que-tru,truc,noun,(verlan) De truc.,Variante orthographique de quetru.
quetru,truc,noun,(verlan) De truc.,Truc.
québlo,bloqué,adj,(verlan) de bloqué.,Bloqué.
quécro,croquer,verb,(verlan) De croquer.,Faire l’amour.
rabza,zarabe,adj,(verlan) De Zarabe.,Arabe.
rainter,terrain,noun,(verlan) De terrain.,Terrain.
ratpi,pirate,noun,(verlan) de pirate.,Pirate.
rebeu,beur,noun,"Construction par reverlanisation de beur (\bœʁ\ qui a donné en verlan \ʁə.bø\ en ajoutant un \ə\ pour l’euphonie), désignant les descendants des immigrants maghrébins en France. C'est une reverlanisation (ou « double verlan ») car le mot beur est lui-même un verlan du mot arabe. En verlan, une expression ne correspond pas toujours à la stricte inversion du mot original. Ici, l’expression be-ara a été rapidement contractée et adoptée sous la forme beur, en supprimant, cette fois-ci, la dernière syllabe pour l’euphonie. || Une autre hypothèse populaire serait que le mot viendrait de l’apocope de ressortissant arabe, similairement à l’expression rital qui viendrait de ressortissant italien, mais rien ne vient l’étayer.",Jeune d’origine maghrébine.
rebiche,bière,noun,(verlan) de bière avec le suffixe -iche.,Bière.
refrè,frère,noun,(verlan) de frère.,Frère.
relou,lourd,adj,"Verlan de lourd (\luʁ\) par inversion du son \lu\ et du son \ʁ\ auquel est rajouté un « e » \ə\ pour le rendre euphonique. Le sens de lourd est celui de « pesant », en parlant de la présence d’une personne.","Irritant ou frustrant, en parlant notamment d’une personne."
remps,parents,noun,"(verlan) apocope de ranpa, de Verlan de parents.",Parents.
renoi,noir,noun,(verlan) de Noir.,"Noir, personne ayant la peau noire."
resta,star de star,noun,Verlan de star de star.,Star.
reubeu,beur,noun,"Construction par reverlanisation de beur, lui même d’arabe.",Variante orthographique de rebeu
reubeue,arabe,noun,"Reverlanisation de beur, verlan de arabe.",Variante orthographique de rebeue
reuch,cher,adj,,Cher.
reuf,frère,noun,"(verlan) Mot formé par apocope de reufré, verlan de frère.",Frère.
reufré,frère,noun,(verlan) de frère.,Frère.
reum,mère,noun,"Apocope de reumé, Verlan de mère.",Mère.
reumé,mère de mère,noun,Verlan de mère de mère.,Mère.
reup,père,noun,"(verlan) de père, la forme apocopée reupé parfois utilisée.",Père.
reupé,mère de père,noun,Verlan de mère de père.,Père.
reuss,sœur de sœur,noun,Verlan de sœur de sœur.,Sœur.
reusse,sœur,noun,(verlan) de sœur.,Sœur.
reusseu,sœur,noun,(verlan) de sœur.,Sœur.
reusta,star,noun,(verlan) de star.,Variante de resta.
Ripa,Paris,name,(verlan) de la prononciation du mot Paris,Paris.
ripou,pourri,noun,(verlan) de pourri.,Personnage corrompu.
ripoublicain,républicain,noun,"Calque de républicain à partir de ripou, (Verlan) de pourri. référence nécessaire (résoudre le problème)",Homme politique corrompu ou dont l’intégrité est remise en cause.
ripoue,femme,noun,,Femme corrompue.
ripouser,pourri,verb,"De ripoux, (Verlan) de pourri.","Rendre ripoux, pourri."
Rispa,Paris,name,(verlan) de Paris,Paris.
rosta,roster,verb,,Troisième personne du singulier du passé simple de roster.
rébou,bourré,adj,(verlan) De l’adjectif bourré.,"Bourré, ivre, qui a le cerveau troublé par l’effet de boissons alcoolisées."
scalpa,scalper,verb,,Troisième personne du singulier du passé simple de scalper.
scred,discret,adj,"(verlan) par apocope de scrédi, verlan de discret.",Discret.
screud,discret,adj,(verlan) De discret.,Discret.
scud,disque,noun,(verlan) Verlan de disque.,Disque musical. Album.
se faire rotca,se faire carotte,verb,Par verlanisation de carotte en rotca.,Variante de se faire carotte.
sema,masse,noun,De français masse Verlan de masse.,Personne physiquement imposante.
seuf,fesse,noun,(verlan) fesse > fé-seu > seu-fé (seufé) > seu-f (seuf) > seu-feu > feu-sseu (feusseu) > feu-sse (feusse) > feu-ss (feuss).,Fesse.
skeud,disque,noun,(verlan) Verlan de disque.,Disque.
sonpri,prison,noun,(verlan) De prison.,Variante orthographique de zonpri.
squeud,disque,noun,Verlan (avec apocope) de disque. (verlan),"Disque musical, disque vinyle ou disque compact. Album, y compris au format numérique."
stachemou,moustache,noun,(verlan) de moustache.,Moustache.
staive,vie,intj,"(verlan) De sta (« c’est ta ») et ive (« vie »), littéralement « c’est ta vie » et sous-entendu « pas la mienne ».","Exclamation exprimant un dédain pour son interlocuteur, dont la signification peut être interprétée comme ""Raconte ta vie ailleurs"""
stoc,mastoc,adj,"Apocope de stocma, Verlan de mastoc.","Mastoc, ayant une carrure imposante."
streum,monstre,noun,"(verlan) apocope de streumon/stremon, Verlan de monstre.",Monstre.
sépo,posé,adj,Verlan de posé.,"Posé, dans le sens de quelqu’un qui est dans une ambiance, un moment détendu."
tainpu,putain,noun,(verlan) de putain.,"putain, salope."
tarba,bâtard,noun,(verlan) Verlan de bâtard.,Bâtard.
tarpé,pétard,noun,(verlan) Verlan de pétard.,"Cigarette contenant du cannabis souvent mélangé à du tabac. Ce terme s’apparente plus spécialement aux cigarettes de cannabis sous forme d’herbe dont la présence de petites tiges et de feuilles produit des crépitements et de petits éclats en brûlant. Quand le cannabis est associé au tabac dans une cigarette, on parle de joint."
taspé,pétasse,noun,(verlan) Verlan de pétasse.,Variante orthographique de tassepé.
tassepé,pétasse,noun,(verlan) Verlan de pétasse.,"Prostituée, fille d’un mauvais genre, femme désagréable, Fille d'allure vulgaire, aguicheuse."
tebé,bête,adj,Verlan de bête Verlan de « bête ».,Bête.
techa,chatte,noun,Verlan de chatte.,Sexe des femmes.
tehon,honte,noun,(verlan) Verlan de honte.,Honte.
tej,jeter,verb,Verlan de jeter.,Jeter.
tepo,pote De pote,noun,Verlan de pote De pote.,"Ami, copain."
tepu,pute,noun,(verlan) Du nom pute.,Pute.
teshmi,schmitt,noun,(verlan) De schmitt.,Policier.
teu-cha,teucha,noun,(Verlan) → voir teucha.,Variante de teucha.
teub,bite de bite,noun,"Verlan de bite de bite (mot d’argot pour pénis). La forme non apocopée, teubi, est plus rare.",Pénis ; verge.
teube,bête,noun,(verlan) Verlan de « bête » et de « bite ».,Pénis ; verge.
teubi,bite,noun,Verlanisation de bite.,Pénis.
teubé,bête,noun,(verlan) Verlan de « bête ».,Autre orthographe de tebé.
teuch,chatte,noun,"Verlan du mot chatte (mot d’argot pour vulve). La forme non apocopée, teucha, est plus rare.",Vulve.
teucha,chatte,noun,"(verlan) Verlan du mot chatte (mot d’argot pour vulve). La forme apocopée, teuch, est plus courante.","Chatte, vulve."
teuchi,shit,noun,Verlan de shit.,Résine de cannabis ; haschich.
teuf,fête,noun,"(verlan) (XXᵉ siècle) référence nécessaire (résoudre le problème) Par apocope de teufé, verlan de fête. || Mot apparu vers le milieu des années 1960 avec le développement du verlan en France. référence nécessaire (résoudre le problème)",Fête.
teufer,teuf,verb,", (verlan) Mot composé de teuf et -er.",Faire la fête.
teufé,fête,noun,(verlan) de fête,fête
teush,shit,noun,(verlan) Verlan de shit.,Résine de cannabis.
teushi,shit,noun,(verlan) de shit.,haschich : résine de cannabis.
tiek,quartier,noun,(verlan) Apocope d’une des variations du verlan de quartier.,Zone périurbaine où vivent les classes populaires.
tieks,quartier,noun,"(verlan) Par apocope de tiekson lui même venant de tiékar, verlan de quartier.",Zone périurbaine où vivent les classes populaires.
tiep,pitié,noun,"(verlan) Apocope de tiépi, verlan de pitié.",Pitié.
tier-quar,quartier,noun,(verlan) Verlan de quartier.,Variante orthographique de tierquar.
tierkar,quartier,noun,(verlan) De quartier.,Variante orthographique de tiéquar.
tierquar,quartier,noun,(verlan) Verlan de quartier.,Quartier.
tié-quar,quartier,noun,(verlan) Verlan de quartier.,Variante orthographique de tiéquar.
tiécar,quartier,noun,(verlan) Verlan de quartier.,Variante orthographique de tiéquar.
tiékar,quartier,noun,(verlan) Variation du verlan de quartier.,Variante orthographique de tiéquar.
tiép,pitié,noun,"(verlan) Apocope de tiépi, verlan de pitié.",Pitié.
tiéquar,quartier,noun,(verlan) Verlan de quartier.,"Quartier, zone périurbaine où vivent les classes populaires."
toncar,carton,noun,(verlan) de carton.,Petit morceau de carton roulé en cylindre et déposé à l'extrémité d'une feuille à rouler lors de la confection d'un joint.
tosma,matos,noun,(verlan) De matos.,Matériel.
treuf,foutre,verb,"(verlan) Apocope de treufou /trœ.fu/, verlan de foutre.","foutre, faire."
tromé,métro,noun,(verlan) De métro.,Métro.
turfu,futur,noun,(verlan) Du mot français futur.,Futur.
tèj,jeter,verb,Verlan de jeter.,"Jeter (au sens de repousser, rejeter)."
té-cla,Éclater,verb,,Éclater.
téci,cité,noun,(Verlan) De cité.,Cité ; quartier d’habitation populaire.
técla,Éclater,verb,,Éclater.
téco,côté,noun,(verlan) Verlan de côté.,Côté.
télo,hôtel,noun,(verlan) Hôtel.,Hôtel.
téma,mater,verb,(Verlan) Verlan de mater.,"Mater, regarder."
témater,mater,verb,Verlan de mater avec le suffixe -er.,"Mater, regarder."
uc,cul,noun,(verlan) Verlan de cul.,Cul.
varcreu,crevard,noun,(verlan) Verlan de crevard.,Crevard.
verlan,l’envers,noun,"De verlan (« à l’envers »), inversion phonétique des syllabes de « l’envers » et remplacement graphique du second « e » par un « a ».","Argot français consistant à inverser les syllabes ou les sons d’un mot, avec restauration phonétique et graphique des « e » disparus, accompagnée de changement de timbre de ces « e »."
veski,esquiver,verb,(verlan) De esquiver.,Variante de vesqui.
vesqui,esquiver,verb,(verlan) De esquiver.,Esquiver.
veuch,cheveu,noun,(verlan) De cheveu.,Cheveux.
veul,l’envers,noun,Reverlanisation de l’envers (via verlan).,Synonyme de reverlanisation.
visser,servir,verb,(Fixer avec une vis) Dénominal de vis. || (Servir) Verlan de servir.,"Attacher, fixer avec des vis."
véner,énervé,adj,(verlan) Verlan de énervé.,Variante de vénère.
vénèr,énervé,adj,(verlan) Verlan de énervé.,Énervé.
vénère,énervé,adj,(verlan) Verlan de énervé.,Énervé ; en colère.
wam,moi,pron,(verlan) Verlan de moi.,Moi.
yavbou,bouillaver,verb,Verlan de bouillaver.,Bouillaver.
yencli,client,noun,(verlan) De client.,Forme alternative de iencli.
yeuve,vieille,noun,(verlan) De vieille.,Femme âgée ou homme vieux.
yeuz,yeux,noun,(verlan) De yeux.,Yeux.
youv,voyou,noun,"(verlan) Apocope de youvoi, verlan de voyou.",Voyou.
youvoi,voyou,noun,"En verlan, voyou devient youvoî par inversion des syllabes phonétiques.",Voyou.
zarb,bizarre,noun,"  || (Adjectif) (verlan) Apocope de zarbi, verlan de bizarre.","Instrument de percussion digitale originaire d’Iran, composé d’une seule pièce de bois creuse de forme cylindrique dont l’ouverture est fermée par une peau tendue."
zarbi,bizarre,adj,(verlan) Verlan du mot français bizarre par inversion des deux syllabes.,"Bizarre, étrange."
zarb’,bizarre,adj,"(verlan) Apocope de zarbi, verlan de bizarre.",Zarbi.
zedou,douze,noun,(verlan) De douze.,Portion de haschisch de 12 g.
zen,nez,noun,Verlan de nez.,Nez.
zepo,posé,adj,Verlan de posé.,"Posé, dans le sens de quelqu’un qui est dans une ambiance, un moment détendu."
zermi,misère,noun,(verlan) Verlan de misère.,Misère.
zerver,verser,verb,"(verlan) Verlan de verser (des larmes). C’est l’un des premiers mots en verlan, attesté en 1596 dans La Vie genereuse des Mercelots, Gueuz et Boesmiens : attrimions l’ornie sans zerver, et la goussions ou fouquions pour de l’aubert.","Pleurer, crier."
zicmu,musique,noun,(verlan) Verlan de musique.,Musique.
